facility_name,city,state,country
Debreceni Egyetem-Klinikai Kozpont /ID# 242451,Debrecen,Hajdú-Bihar,Hungary
Szabolcs-Szatmar-Bereg Varmegyei Oktatokorhaz /ID# 242468,Nyíregyháza,Szabolcs-Szatmár-Bereg,Hungary
Semmelweis Egyetem /ID# 242455,Budapest,,Hungary
Del-pesti Centrumkorhaz Orszagos Hematologiai es Infektologiai Intezet /ID# 262923,Budapest,,Hungary
Orszagos Onkologiai Intezet /ID# 242457,Budapest,,Hungary
Fujita Health University Hospital /ID# 265968,Toyoake,Aichi-ken,Japan
National Hospital Organization Shikoku Cancer Center /ID# 265977,Matsuyama,Ehime,Japan
Kyushu University Hospital /ID# 267624,Fukuoka,Fukuoka,Japan
Fukushima Medical University Hospital /ID# 264667,Fukushima,Fukushima,Japan
Sapporo Medical University Hospital /ID# 264928,Sapporo,Hokkaido,Japan
Hyogo Prefectural Amagasaki General Medical Center /ID# 277258,Amagasaki,Hyōgo,Japan
Kagoshima University Hospital /ID# 248259,Kagoshima,Kagoshima-ken,Japan
Tokai University Hospital /ID# 265433,Isehara,Kanagawa,Japan
Shonankamakura General Hospital /ID# 277671,Kamakura,Kanagawa,Japan
Kansai Medical University Hospital /ID# 266018,Hirakata-shi,Osaka,Japan
Kindai University Hospital /ID# 265474,Sakai-shi,Osaka,Japan
Duplicate_Saitama Cancer Center /ID# 265277,Kitaadachi-gun,Saitama,Japan
University of Yamanashi Hospital /ID# 264671,Chuo-shi,Yamanashi,Japan
Centro De Investigación Clinica Chapultepec /ID# 243959,Mexico City,Mexico City,Mexico
Centro de Quimioterapia E Investigacion Sas de Cv /Id# 263293,Jalisco,,Mexico
"Jeroen Bosch Ziekenhuis, locatie 's-Hertogenbosch /ID# 265204",'s-Hertogenbosch,North Brabant,Netherlands
OLVG - Locatie Oost /ID# 263355,Amsterdam,North Holland,Netherlands
Medisch Centrum Leeuwarden /ID# 245501,Leeuwarden,Provincie Friesland,Netherlands
"Albert Schweitzer Ziekenhuis, locatie Dordwijk /ID# 263361",Dordrecht,South Holland,Netherlands
St. Antonius Ziekenhuis /ID# 245197,Nieuwegein,Utrecht,Netherlands
North Shore Hospital /ID# 266060,Auckland,,New Zealand
Wellington Hospital /ID# 265966,Wellington,,New Zealand
Aidport sp z o.o. /ID# 262766,Poznan,Greater Poland Voivodeship,Poland
Pratia MCM Krakow /ID# 262882,Krakow,Lesser Poland Voivodeship,Poland
Narodowy Instytut Onkologii im. Marii Sklodowskiej-Curie Panstwowy Instytut Bada /ID# 263314,Warsaw,Masovian Voivodeship,Poland
Swietokrzyskie Centrum Onkologii Samodzielny Publiczny Zaklad Opieki Zdrowotnej /ID# 242436,Kielce,Świętokrzyskie Voivodeship,Poland
Hospital da Luz /ID# 262965,Lisbon,Lisbon District,Portugal
"Instituto Portugues de Oncologia do Porto Francisco Gentil, EPE /ID# 262961",Porto,,Portugal
"Unidade Local de Saude Sao Joao, EPE /ID# 262962",Porto,,Portugal
Fundeni Clinical Institute /ID# 266734,Bucharest,Bucharest,Romania
Institutul Oncologic Prof Dr. Ion Chiricuta Cluj Napoca /ID# 243753,Cluj-Napoca,Cluj,Romania
Institutul Regional de Oncologie /ID# 244367,Iași,Iaşi,Romania
Spitalul Clinic Coltea /ID# 243694,Bucharest,,Romania
Clinical Hospital Center Zvezdara /ID# 263059,Belgrade,Beograd,Serbia
Institute for Oncology and Radiology of Serbia /ID# 263055,Belgrade,Beograd,Serbia
University Clinical Center Serbia /ID# 263057,Belgrade,Beograd,Serbia
Clinical Hospital Center - Bežanijska Kosa /ID# 263053,Belgrade,Beograd,Serbia
University Clinical Center Nis /ID# 263701,Niš,Nisavski Okrug,Serbia
Institute for Oncology of Vojvodina /ID# 263052,Kamenitz,Vojvodina,Serbia
University Clinical Center Vojvodina /ID# 264138,Novi Sad,,Serbia
National Cancer Centre Singapore /ID# 267015,Singapore,Central Singapore,Singapore
Tan Tock Seng Hospital /ID# 266061,Singapore,Central Singapore,Singapore
National University Hospital /ID# 264016,Singapore,,Singapore
Wits Clinical Research /ID# 264656,Johannesburg,Gauteng,South Africa
Alberts Cellular Therapy /ID# 262720,Pretoria,Gauteng,South Africa
Constantiaberg Haematology /ID# 273041,Cape Town,Western Cape,South Africa
Haemalife Inc. /ID# 262719,Kuils River,Western Cape,South Africa
Inje University - Busan Paik Hospital /ID# 262842,Busan,Busan Gwang Yeogsi,South Korea
Dong-A University Medical Center /ID# 262841,Busan,Busan Gwang Yeogsi,South Korea
Seoul National University Bundang Hospital /ID# 242405,Seongnam-si,Gyeonggido,South Korea
Keimyung University Dongsan Hospital /ID# 262840,Daegu,Gyeongsangbuk-do,South Korea
Jeonbuk National University Hospital /ID# 242958,Jeonju,Jeonrabugdo,South Korea
Chonnam National University Hwasun Hospital /ID# 262843,Hwasun-gun,Jeonranamdo,South Korea
Seoul National University Hospital /ID# 242407,Seoul,Seoul Teugbyeolsi,South Korea
Asan Medical Center /ID# 242409,Seoul,Seoul Teugbyeolsi,South Korea
Samsung Medical Center /ID# 242408,Seoul,Seoul Teugbyeolsi,South Korea
"The Catholic University of Korea, Seoul St. Marys Hospital /ID# 242406",Seoul,Seoul Teugbyeolsi,South Korea
Ulsan University Hospital /ID# 242956,Ulsan,Ulsan Gwang Yeogsi,South Korea
National Taiwan University Hospital /ID# 243300,Taipei City,Taipei,Taiwan
China Medical University Hospital /ID# 242931,Taichung,,Taiwan
Taichung Veterans General Hospital /ID# 242937,Taichung,,Taiwan
National Cheng Kung University Hospital /ID# 243301,Tainan,,Taiwan
Ankara Universitesi Fakultesi /ID# 242410,Ankara,,Turkey (Türkiye)
Adnan Menderes University /ID# 242418,Aydin,,Turkey (Türkiye)
Trakya University Medical Facu /ID# 242419,"Edirne, Istanbul",,Turkey (Türkiye)
Istanbul Universitesi-Cerrahpasa Cerrahpasa Tip Fakultesi /ID# 242414,Istanbul,,Turkey (Türkiye)
Vehbi Koc vakfi Amerikan Hasta /ID# 242415,Istanbul,,Turkey (Türkiye)
Ege University Medical Faculty /ID# 242417,Izmir,,Turkey (Türkiye)
Ondokuz mayis University Facul /ID# 242412,Samsun,,Turkey (Türkiye)
Istanbul Florence Nightingale Hospital /ID# 271544,Şişli,,Turkey (Türkiye)
Karadeniz Technical University Farabi Hospital /ID# 264694,Trabzon,,Turkey (Türkiye)
Royal Cornwall Hospital /ID# 265130,Truro,Cornwall,United Kingdom
NHS Lanarkshire /ID# 272332,Airdrie,North Lanarkshire,United Kingdom
Nottingham City Hospital /ID# 265129,Nottingham,Nottinghamshire,United Kingdom
The Newcastle Upon Tyne Hospitals NHS Foundation Trust /ID# 242923,Newcastle upon Tyne,,United Kingdom
MD Anderson Cancer Center,Houston,Texas,United States
Women's Imaging @ WellSpan Health,York,Pennsylvania,United States
Oslo University Hospital,Oslo,,Norway
Prostate Oncology Specialists,Marina del Rey,California,United States
University of California Davis Medical Center,Sacramento,California,United States
Sharp Health Care,San Diego,California,United States
California Pacific Medical Center Research Institute,San Francisco,California,United States
Rocky Mountain Cancer Center,Boulder,Colorado,United States
Hartford Hospital,Hartford,Connecticut,United States
Smilow Cancer Hospital at Yale New Haven Hospital,New Haven,Connecticut,United States
The Center for Hematology-Oncology,Boca Raton,Florida,United States
Florida Cancer Specialists,Fort Myers,Florida,United States
Florida Cancer Specialists,Inverness,Florida,United States
H. Lee Moffitt Cancer Center and Research Institute,Tampa,Florida,United States
"Georgia Cancer Specialists, P.C.",Marietta,Georgia,United States
Cancer Center of Kansas,Wichita,Kansas,United States
Boston University Medical Center,Boston,Massachusetts,United States
University of Michigan Health System,Ann Arbor,Michigan,United States
Karmanos Cancer Institute,Detroit,Michigan,United States
Urology Cancer Center and GU Research Network,Omaha,Nebraska,United States
Monter Cancer Center,Lake Success,New York,United States
SUNY Upstate Medical University,Syracuse,New York,United States
Albert Einstein Medical Center,The Bronx,New York,United States
Blumenthal Cancer Center,Charlotte,North Carolina,United States
Cancer Centers of North Carolina,Raleigh,North Carolina,United States
"Oncology Hematology Care, Inc.",Blue Ash,Ohio,United States
The Mark H. Zangmeister Center,Columbus,Ohio,United States
Oregon Health and Science University,Portland,Oregon,United States
South Carolina Oncology Associates,Columbia,South Carolina,United States
Cancer Centers of the Carolinas,Greenville,South Carolina,United States
Chattanooga Oncology and Hematology Associates,Chattanooga,Tennessee,United States
The West Clinic,Memphis,Tennessee,United States
"Tennessee Oncology, PLLC",Nashville,Tennessee,United States
"Texas Oncology, PA",Dallas,Texas,United States
Utah Cancer Specialists,Salt Lake City,Utah,United States
Virginia Oncology Associates,Norfolk,Virginia,United States
Virginia Cancer Institute,Richmond,Virginia,United States
The Canberra Hospital,Garran,Australian Capital Territory,Australia
Royal Prince Alfred Hospital,Camperdown,New South Wales,Australia
St George Public Hospital,Kogarah,New South Wales,Australia
Royal North Shore Hospital,Saint Leonards,New South Wales,Australia
Westmead Hospital,Westmead,New South Wales,Australia
Haematology and Oncology Clinics of Australia,Brisbane,Queensland,Australia
The Queen Elizabeth Hospital,Woodville South,South Australia,Australia
Royal Hobart Hospital,Hobart,Tasmania,Australia
Box Hill Hospital,Box Hill,Victoria,Australia
Austin Health,Heidelberg,Victoria,Australia
Epworth Healthcare,Richmond,Victoria,Australia
Cross Cancer Institute,Edmonton,Alberta,Canada
British Columbia Cancer Agency,Vancouver,British Columbia,Canada
Juravinski Cancer Centre,Hamilton,Ontario,Canada
London Health Sciences Center,London,Ontario,Canada
R. S. McLaughlin Durham Regional Cancer Center at Lakeridge Health Oshawa,Oshawa,Ontario,Canada
The Ottawa Hospital Regional Cancer Centre,Ottawa,Ontario,Canada
Sunnybrook Health Sciences Centre,Toronto,Ontario,Canada
CHUM-Hospital Notre-Dame,Montreal,Quebec,Canada
Krajská nemocnice Liberec a.s.,Liberec,Liberec,Czechia
"Krajská nemo. T.Bati, a. s.",Zlín,Severomoravsky Kraj,Czechia
Fakultni nemo Hradec Králové,Hradec Králové,,Czechia
University Hospital Olomouc,Olomouc,,Czechia
Centre Léon Bérard,Lyon Cédex 08,Auvergne-Rhône-Alpes,France
Centre François Baclesse,Caen,Basse-Normandie,France
Institut Jean-Godinot,Reims,Champagne-Ardenne,France
Institut Paoli Calmettes,Marseille,Marseille,France
Institut de Cancérologie de l'Ouest - René Gauducheau,Saint-Herblain,Pays de la Loire Region,France
Centre Hospitalier Universitaire de Poitiers Hôpital de la Milétrie,Poitiers,Poitou-Charentes,France
Centre Antoine Lacassagne,Nice,Provence-Alpes-Côte d'Azur Region,France
Hôpital Saint Louis,Paris,Île-de-France Region,France
Institut Curie,Paris,Île-de-France Region,France
Institut Gustave Roussy,Villejuif,Île-de-France Region,France
Pándy Kálmán Megyei Kórház,Gyula,Bekes County,Hungary
Borsod Abaúj Zemplén Megyei Kórház és Egyetemi Oktató Kórház,Miskolc,Borsod-Abauj Zemplen county,Hungary
Országos Onkológiai Intézet,Budapest,Budapest,Hungary
Semmelweis Egyetem Általános Orvostudományi Kar,Budapest,Budapest,Hungary
"Szegedi Tudományegyetem, Onkoterápiás Klinika",Szeged,Csongrád megye,Hungary
Ivanovo Reg Oncology Centre,Ivanovo,Ivanovo Oblast,Russia
Cancer Research Center na NN Blokhin,Moscow,Moscow,Russia
Hertzen Rsrch Inst of Oncology,Moscow,Moscow,Russia
Sverdlovsk Reg Clin Hosp#1,Yekaterinburg,Ural,Russia
Volgograd Regional Oncological Dispensary,Volzhsky,Volgograd Oblast,Russia
S Inst Hlth Altay Reg Onc Disp,Barnaul,,Russia
Russian Research Center of Radiology,Moscow,,Russia
Urology Research Institute,Moscow,,Russia
State Healthcare Inst Omsk Reg,Omsk,,Russia
Petrov Research Oncology Institute,Saint Petersburg,,Russia
Saint Petersburg City Oncological Dispensary,Saint Petersburg,,Russia
Stavropol Reg Oncology Ctr,Stavropol,,Russia
Cancer Research UK,Birmingham,England,United Kingdom
Addenbrookes Hospital Cambridge,Cambridge,England,United Kingdom
U of Surrey Post Grad Med,Guildford,England,United Kingdom
Christie Hospital NHS Foundation Trust,Manchester,England,United Kingdom
Clatterbridge Centre for Oncology NHS Foundation Trust,Metropolitan Borough of Wirral,England,United Kingdom
Nottingham City Hospital NHS Trust,Nottingham,England,United Kingdom
The Royal Marsden Hospital,Surrey,England,United Kingdom
Musgrove Park Hospital,Taunton,England,United Kingdom
"Beatson Cancer Centre, Glasgow",Glasgow,Scotland,United Kingdom
"UKHD, Klinik für RadioOnkologie und Strahlentherapie",Heidelberg,,Germany
Sanofi-Aventis Administrative Office,Macquarie Park,,Australia
Children's National Medical Center,Washington D.C.,District of Columbia,United States
National Institutes of Health Clinical Center,Bethesda,Maryland,United States
Massachusetts General Hospital,Boston,Massachusetts,United States
"Alaska Clinical Research Center, LLC",Anchorage,Alaska,United States
"Sheba Medical Center, Psychiatry Department",Ramat Gan,,Israel
Department of Women's and Children's Health,Uppsala,,Sweden
Tianjin Medical University Cancer Institute and Hospital,Tianjin,Tianjin Municipality,China
Cancer Hospital Chinese Academy of Medical Sciences,Beijing,Beijing Municipality,China
"University of California, Los Angeles",Los Angeles,California,United States
Institute of Oncology Ljubljana,Ljubljana,,Slovenia
"CHU de Bordeaux, Hématologie clinique et thérapie cellulaire",Bordeaux,,France
"CHU de Bordeaux, Laboratoire Hématologie",Bordeaux,,France
"CHU de Bordeaux, Médecine interne et immunologie clinique",Bordeaux,,France
"CHU de Bordeaux, Médecine Interne et maladies infectieuses",Bordeaux,,France
"Institut Begonié, Hématologie clinique",Bordeaux,,France
Örebro University hospital,Örebro,,Sweden
Nanjing Drum Tower Hospital the Affiliated Hospital of Nanjing University Medical School,Nanjing,Jiangsu,China
Unknown,New York,New York,United States
Unknown,Philadelphia,Pennsylvania,United States
Unknown,Nashville,Tennessee,United States
Unknown,Houston,Texas,United States
Carmel Medical center,Haifa,Israel,Israel
Beijing Cancer Hospital,Beijing,Beijing Municipality,China
Guangdong Nanfang Hospital,Guangzhou,Guangdong,China
Henan Cancer Hospital,Zhengzhou,Henan,China
Zhongda Hospital Affiliated Southeast University,Nanjing,Jiangsu,China
Shengjing Hospital Affiliated China Medical University,Shenyang,Liaoning,China
Shanghai Zhongshan Hospital,Shanghai,Shanghai Municipality,China
Second Aff. Hosp. of Zhejiang University College of Medicine,Hangzhou,Zhejiang,China
"The First Affiliated Hospital, Zhejiang University",Hangzhou,Zhejiang,China
Zhejiang Cancer Hospital,Hangzhou,Zhejiang,China
Nepean Hospital,Kingswood,New South Wales,Australia
Macquarie University Hospital,Macquarie Park,New South Wales,Australia
Wollongong Hospital,Wollongong,New South Wales,Australia
"St Vincents Hospital, Melbourne",Fitzroy,Victoria,Australia
GenesisCare Murdoch,Murdoch,Western Australia,Australia
Ico Paul Papin,Angers,,France
Centre Eugene Marquis,Rennes,,France
Chp Saint Gregoire,Saint-Grégoire,,France
Gustave Roussy,Villejuif,,France
Ankara University Medical School Nuclear Medicine Department,Ankara,Ankara,Turkey (Türkiye)
Hacettepe University Medical School Nuclear Medicine Department,Ankara,Ankara,Turkey (Türkiye)
Klinikum St. Marien Kommunalunternehmen - Anstalt des öffentlichen Rechts der Stadt Amberg,Amberg,,Germany
HELIOS Klinikum Bad Saarow,Bad Saarow,,Germany
Charite Univeristätsmedizin Berlin,Berlin,,Germany
Universitätsklinikum Brandenburg an der Havel Medizinische Hochschule Brandenburg,Brandenburg an der Havel,,Germany
Krankenhaus St. Joseph-Stift GmbH,Bremen,,Germany
Klinikum Darmstadt GmbH,Darmstadt,,Germany
Kliniken Essen Mitte Klinik für Internistische Onkologie und Hämatologie,Essen,,Germany
"Institute of Clinical Cancer Research, University Cancer Center (UCT) Frankfurt Krankenhaus Nordwest",Frankfurt,,Germany
Universitätsmedizin Göttingen,Göttingen,,Germany
Universitätsklinikum Halle (Saale) Universitätsklinik und Poliklinik für Innere Medizin I,Halle,,Germany
"Universitätsklinikum Heidelberg, RadioOnkologie &amp; Strahlentherapie",Heidelberg,,Germany
"St. Elisabeth Gruppe GmbH, St. Anna Hospital Herne",Herne,,Germany
Klinikverbund Allgäu gGmbH,Kempten,,Germany
Universitätsklinikum Schleswig-Holstein,Kiel,,Germany
ÜBAG - Medizinisches Versorgungszentrum Dr. Vehling-Kaiser GmbH,Landshut,,Germany
Klinikum Ludwigshafen gGmbH,Ludwigshafen,,Germany
Klinikum rechts der Isar der Technischen Universität München,München,,Germany
Gemeinschaftspraxis für Hämatologie und Onkologie GEHO,Münster,,Germany
"Kreiskliniken Reutlingen GmbH Klinikum am Steinberg Reutlingen Ermstalklinik, Bad Urach",Reutlingen,,Germany
Leopoldina-Krankenhaus Medizinische Klinik II,Schweinfurt,,Germany
Klinikum Mutterhaus Trier,Trier,,Germany
Klinikum Wolfsburg,Wolfsburg,,Germany
Université de Lorraine,Nancy,Lorraine,France
"University of Naples ""Federico II""",Naples,,Italy
General Universitario Gregorio Marañon,Madrid,,Spain
Hôpitaux Universitaires Genève,Geneva,Canton of Geneva,Switzerland
Hospital Universitari Vall d'Hebron,Barcelona,Barcelona,Spain
Hospital Sant Joan de Déu,Esplugues de Llobregat,Barcelona,Spain
Hospital Infantil Universitario Niño Jesús,Madrid,Madrid,Spain
Hospital Universitario La Paz,Madrid,Madrid,Spain
Stanford University School of Medicine,Stanford,California,United States
Hôpital Beaujon,Clichy,,France
Hôpital Henri-Mondor,Créteil,,France
Hôpital Claude Huriez - CHU de Lille,Lille,,France
Lyon - Hôpital Croix Rousse,Lyon,,France
CHU Montpellier - Hôpital Saint Eloi,Montpellier,,France
Hôpital Pitié-Salpêtrière,Paris,,France
CHU Rennes - Hôpital Pontchaillou,Rennes,,France
Hôpital de Hautepierre - Strasbourg,Strasbourg,,France
CHU Tours - Hôpital Trousseau,Tours,,France
Hôpital Paul Brousse,Villejuif,,France
the First Affiliated Hospital of Soochow University,Suzhou,Jiangsu,China
Nutrition Research Laboratory,Bozeman,Montana,United States
Cincinnati VA Medical Center,Cincinnati,Ohio,United States
University of Cincinnati,Cincinnati,Ohio,United States
